DATE,GOLDPMGBD228NLBM
2016-11-25,1197.130
2016-12-02,1177.400
2016-12-09,1169.400
2016-12-16,1147.090
2016-12-23,1131.738
2016-12-30,1140.250
2017-01-06,1166.950
2017-01-13,1188.390
2017-01-20,1206.080
2017-01-27,1199.840
2017-02-03,1209.280
2017-02-10,1232.990
2017-02-17,1231.980
2017-02-24,1241.740
2017-03-03,1243.560
2017-03-10,1213.200
2017-03-17,1213.310
2017-03-24,1243.610
2017-03-31,1251.910
2017-04-07,1253.930
2017-04-14,1265.350
2017-04-21,1280.488
2017-04-28,1265.660
2017-05-05,1240.563
2017-05-12,1225.510
2017-05-19,1246.560
2017-05-26,1258.720
2017-06-02,1267.175
2017-06-09,1280.820
2017-06-16,1262.770
2017-06-23,1247.870
2017-06-30,1245.710
2017-07-07,1222.770
2017-07-14,1218.190
2017-07-21,1240.850
2017-07-28,1256.810
2017-08-04,1266.780
2017-08-11,1272.270
2017-08-18,1284.000
2017-08-25,1287.610
2017-09-01,1314.825
2017-09-08,1339.250
2017-09-15,1327.130
2017-09-22,1303.980
2017-09-29,1288.470
2017-10-06,1271.100
2017-10-13,1289.850
2017-10-20,1287.170
2017-10-27,1273.310
2017-11-03,1273.120
2017-11-10,1279.920
2017-11-17,1279.820
2017-11-24,1287.460
2017-12-01,1285.260
2017-12-08,1261.820
2017-12-15,1247.260
2017-12-22,1262.513
2017-12-29,1285.200
2018-01-05,1314.650
2018-01-12,1320.110
2018-01-19,1335.180
2018-01-26,1345.560
2018-02-02,1341.260
2018-02-09,1323.840
